,accuracy,precision_class_0,recall_class_0,f1_score_class_0,precision_class_1,recall_class_1,f1_score_class_1
Logistic Regression,0.645,0.8416666666666667,0.6601307189542484,0.73992673992674,0.35,0.5957446808510638,0.4409448818897638
Random Forest,0.66,0.8195488721804511,0.7124183006535948,0.7622377622377622,0.34328358208955223,0.48936170212765956,0.40350877192982454
Gradient Boosting,0.64,0.8584070796460177,0.6339869281045751,0.7293233082706767,0.3563218390804598,0.6595744680851063,0.4626865671641791
